Exported at 22/05/2024 15:40:37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Core ID:,Stare standardy mokre 1x15 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Comments:,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
XRF Measurement Mode:,He - 15x1mm, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Depth,Depth In Core,Time Stamp,Laser Profiler,XRF Total Live Time,XRF Total Counts,,XRF Elements(ppm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,XRF Oxides(ppm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cm,cm,,mm,Seconds,Beam 1,Beam 2,LE (Value),Mg (Value),Mg (Error),Al (Value),Al (Error),Si (Value),Si (Error),P (Value),P (Error),S (Value),S (Error),K (Value),K (Error),Ca (Value),Ca (Error),Ti (Value),Ti (Error),V (Value),V (Error),Cr (Value),Cr (Error),Mn (Value),Mn (Error),Fe (Value),Fe (Error),Ni (Value),Ni (Error),Cu (Value),Cu (Error),Zn (Value),Zn (Error),As (Value),As (Error),Sr (Value),Sr (Error),Zr (Value),Zr (Error),Mo (Value),Mo (Error),Ba (Value),Ba (Error),Pb (Value),Pb (Error),U (Value),U (Error),LE (Value),MgO (Value),MgO (Error),Al2O3 (Value),Al2O3 (Error),SiO2 (Value),SiO2 (Error),P2O5 (Value),P2O5 (Error),SO3 (Value),SO3 (Error),K2O (Value),K2O (Error),CaO (Value),CaO (Error),TiO2 (Value),TiO2 (Error),V2O5 (Value),V2O5 (Error),Cr2O3 (Value),Cr2O3 (Error),Mn2O3 (Value),Mn2O3 (Error),Fe2O3 (Value),Fe2O3 (Error),NiO (Value),NiO (Error),CuO (Value),CuO (Error),ZnO (Value),ZnO (Error),As2O3 (Value),As2O3 (Error),SrO (Value),SrO (Error),ZrO2 (Value),ZrO2 (Error),MoO2 (Value),MoO2 (Error),BaO (Value),BaO (Error),PbO (Value),PbO (Error),UO2 (Value),UO2 (Error)
NCS DC60113 Gypsum,3,22/05/2024 13:12:44,-3.021,15,1214354,575118,878705.34,6384.39,2458.17,5045.17,962.41,12158.45,511.06,0,0,39787.85,1098.38,821.7,191.28,55352.43,508.43,28.79,33.79,284.08,105.96,160.7,67.33,117.61,47.96,794.79,83.5,8,0.95,55.71,3.38,16.24,4.41,0,0,188.27,12.33,0,0,2.13,9,53.11,44.54,24.92,13.91,10.31,9.41,226435.29,10587.08,4076.32,9532.67,1818.43,26010.99,1093.33,0,0,99346.43,2742.54,989.82,230.42,77449.46,711.4,48.04,56.38,507.13,189.15,234.87,98.41,168.99,68.91,1136.35,119.38,10.18,1.21,69.74,4.24,20.21,5.49,0,0,222.65,14.58,0,0,2.84,12,59.3,49.73,26.85,14.98,11.7,10.68
NCS DC60113 Gypsum,3.1,22/05/2024 13:12:44,-2.617,15,1220659,575288,874503.41,7220.6,2483.12,5029.64,956.41,12508.37,521.74,0,0,40722.14,1122.97,867.93,196.68,57251.55,522.93,33.15,34.39,290.05,108.01,179.16,71.38,145.73,49.5,870.79,89.84,8.08,0.97,94.2,7.69,21.3,4.67,0,0,166.75,11.43,0,0,6.42,9.14,46.78,45.33,26.05,14.39,7.87,9.39,233807.24,11973.75,4117.7,9503.32,1807.1,26759.59,1116.17,0,0,101679.27,2803.95,1045.52,236.92,80106.72,731.68,55.31,57.38,517.8,192.82,261.86,104.32,209.39,71.13,1245.01,128.45,10.28,1.23,117.91,9.63,26.51,5.82,0,0,197.2,13.52,0,0,8.56,12.19,52.23,50.61,28.06,15.51,8.93,10.65
NCS DC60113 Gypsum,3.2,22/05/2024 13:12:44,-2.712,15,1228342,575301,868375.72,8516.55,2552.33,5711.74,1059.12,12883.63,537.33,0,0,42543.64,1172.12,898.64,202.17,59413.77,540.13,39.74,35.43,273.61,110.82,151.15,67.71,78.97,49.22,805.39,85.67,7.9,0.98,33.5,1.67,13.05,4.68,0,0,162.03,11.31,0,0,3.98,9.41,55.54,46.73,21.37,14.2,10.07,9.76,245321.54,14122.78,4232.47,10792.12,2001.16,27562.39,1149.53,0,0,106227.37,2926.68,1082.51,243.54,83132.11,755.76,66.3,59.11,488.45,197.84,220.92,98.96,113.47,70.71,1151.51,122.48,10.06,1.25,41.93,2.1,16.24,5.83,0,0,191.62,13.38,0,0,5.3,12.55,62.01,52.18,23.02,15.29,11.42,11.07
NCS DC60113 Gypsum,3.3,22/05/2024 13:12:44,-2.819,15,1233456,576283,867608.56,6696.94,2480.87,5805.3,1069.56,13999.34,571.81,1.17,70.2,42306.77,1165.42,959.42,207.67,60774.57,549.54,59.79,35.59,341.67,112.43,187.39,74.36,86.57,49.67,826.72,87.66,8.67,1.01,51.82,2.97,19.67,4.82,0,0,175.7,11.98,0,0,5.74,9.55,42.76,46.86,29.31,14.78,12.12,9.93,246552.88,11105.37,4113.96,10968.9,2020.89,29949.29,1223.3,2.67,160.86,105635.93,2909.95,1155.73,250.16,85036.15,768.92,99.75,59.39,609.94,200.71,273.88,108.68,124.39,71.36,1182,125.33,11.03,1.29,64.87,3.72,24.49,5.99,0,0,207.79,14.16,0,0,7.65,12.73,47.74,52.32,31.57,15.92,13.75,11.27
NCS DC60113 Gypsum,3.4,22/05/2024 13:12:44,-2.872,14.9,1235873,578601,862429.4,9355.94,2592.42,5812.19,1072.95,13976.06,572.77,0,0,42947.79,1183.04,1139.1,228,62236.27,561.23,32.41,36.5,341.02,114.8,191.91,76.12,114.65,51.4,964.5,98.96,9.63,1.07,53.87,3.11,18.51,4.84,0.06,0.35,184.84,12.5,0,0,6.79,9.85,150.36,105.13,29.27,15.02,5.42,10.04,255109.25,15514.73,4298.94,10981.92,2027.29,29899.48,1225.35,0,0,107236.51,2953.93,1372.16,274.65,87081.37,785.27,54.08,60.89,608.78,204.93,280.49,111.26,164.73,73.85,1378.99,141.48,12.26,1.37,67.43,3.9,23.04,6.02,0.07,0.46,218.59,14.78,0,0,9.06,13.13,167.88,117.37,31.54,16.17,6.14,11.39
NCS DC60113 Gypsum,3.5,22/05/2024 13:12:44,-2.907,14.9,1249349,578988,854629.97,8183.35,2575.84,6558.87,1184.06,14667.36,597.24,0,0,46403.93,1275.68,1133.21,231.62,66288.56,592.83,40.08,37.91,303.43,118.92,170.87,74.06,148.29,54.28,1047.92,106.59,9.79,1.09,75.42,5.06,19.48,5.16,0.05,0.36,196.59,13.2,0,0,9.63,10.24,66.3,50.07,36.68,15.69,10.22,10.7,270395.22,13570.25,4271.45,12392.75,2237.24,31378.39,1277.69,0,0,115866.16,3185.25,1365.07,279.01,92751.35,829.5,66.88,63.26,541.68,212.3,249.73,108.24,213.07,77.99,1498.25,152.39,12.46,1.39,94.41,6.34,24.25,6.43,0.07,0.48,232.48,15.61,0,0,12.84,13.65,74.02,55.9,39.52,16.9,11.6,12.13
NCS DC60113 Gypsum,3.6,22/05/2024 13:12:44,-2.908,14.9,1242185,578030,861408.14,7232.2,2497.22,6328.82,1146.28,14443.42,587.79,0,0,43938.42,1209.32,972.98,210.85,63662.66,571.65,57.19,37,331.5,115.99,156.1,70.2,100.75,51.58,998.78,102.06,9.44,1.06,65.09,4.1,15.51,4.8,0,0,183.19,12.44,0,0,3.96,9.8,56,48.55,28.1,15.28,7.75,10.25,257734.03,11992.98,4141.09,11958.07,2165.85,30899.32,1257.47,0,0,109710,3019.57,1172.05,253.99,89077.19,799.86,95.41,61.73,591.79,207.07,228.15,102.6,144.77,74.11,1428,145.92,12.01,1.35,81.48,5.13,19.3,5.97,0,0,216.64,14.71,0,0,5.28,13.07,62.52,54.21,30.27,16.46,8.79,11.63
NCS DC60113 Gypsum,3.7,22/05/2024 13:12:44,-2.903,15,1228166,577391,867398.65,9064.14,2616.45,5495.95,1030.33,13398.78,553.95,0,0,41676.37,1149.29,951.2,207.34,59923.87,543.56,12.29,35.39,302.19,111.2,193.17,75.34,91.83,49.5,1071.93,106.51,9.72,1.04,87.74,6.7,20.12,4.76,0,0,187.55,12.51,4.41,8.06,6.8,9.58,61.97,46.76,28.89,14.77,12.43,9.98,246138.57,15030.84,4338.79,10384.4,1946.76,28664.48,1185.08,0,0,104061.88,2869.66,1145.82,249.77,83845.84,760.56,20.5,59.04,539.46,198.52,282.33,110.11,131.95,71.12,1532.58,152.28,12.37,1.33,109.83,8.38,25.05,5.93,0,0,221.8,14.79,5.95,10.88,9.07,12.78,69.19,52.2,31.12,15.91,14.1,11.33
NCS DC60113 Gypsum,3.8,22/05/2024 13:12:44,-2.834,15,1220622,576095,870161.21,9182.26,2550.55,5245.19,989.35,13435.81,553.49,0,0,40838.52,1126.84,984.09,209.13,58233.96,530.7,34.3,34.87,383.02,110.99,199.85,76.03,83.19,48.66,829.61,87.23,8.33,0.99,92.74,7.44,18.9,4.78,0.19,0.33,186.07,12.33,0,0,2.58,9.36,44.14,45.9,26.29,13.8,9.76,9.67,241318.96,15226.72,4229.51,9910.59,1869.35,28743.69,1184.1,0,0,101969.85,2813.62,1185.44,251.92,81481.31,742.56,57.24,58.17,683.76,198.14,292.09,111.13,119.54,69.92,1186.13,124.71,10.6,1.26,116.09,9.31,23.53,5.95,0.25,0.43,220.04,14.58,0,0,3.44,12.49,49.28,51.25,28.32,14.87,11.07,10.97
NCS DC60113 Gypsum,3.9,22/05/2024 13:12:44,-2.7,15,1212402,574490,874629.6,8890.34,2535.05,5360.15,1004.13,12504.12,522.34,0,0,40327.97,1113.12,789.7,188.57,55659.04,511.57,23.29,34.1,299.73,107.18,196.43,74.52,89.12,47.53,844.81,87.57,8.95,1,99.82,8.56,16.74,4.62,0.42,0.33,164.05,11.25,0,0,5.06,9.03,47.37,44.93,33.17,13.73,10.13,9.61,233801.26,14742.63,4203.81,10127.8,1897.26,26750.49,1117.46,0,0,100695.07,2779.34,951.27,227.15,77878.47,715.79,38.86,56.89,535.07,191.33,287.1,108.91,128.05,68.29,1207.86,125.21,11.39,1.27,124.96,10.72,20.84,5.76,0.55,0.44,194,13.31,0,0,6.75,12.04,52.89,50.17,35.74,14.79,11.49,10.9
