standard_ID,element,measured_conc,standard_conc,configuration,measured_ca,standard_ca,measured_ratio,standard_ratio,measured_ratio_log,standard_ratio_log,ratio_id_log
IAEA-158A,Zn,20.803333333333335,141,"Wet, WS 1 x 15 mm",20695.496666666662,65300,0.0010052106343908314,0.0021592649310872894,-6.902558172972733,-6.137987424886354,log(Zn/Ca)
IAEA-456,Cr,141.14333333333337,589,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Cr/Ca)
IAEA-456,Cu,42.485,44.6,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Cu/Ca)
IAEA-456,Fe,8812.256666666666,49.5,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Fe/Ca)
IAEA-456,Mn,141.445,825,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Mn/Ca)
IAEA-456,Pb,25.334999999999997,33.4,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Pb/Ca)
IAEA-456,V,246.45666666666668,223,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(V/Ca)
IAEA-456,Zn,17.695,203,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Zn/Ca)
IAEA-457,Cr,127.85166666666666,144,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Cr/Ca)
IAEA-457,Cu,127.56666666666666,365,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Cu/Ca)
IAEA-457,Fe,9021.018333333332,41450,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Fe/Ca)
IAEA-457,Mn,108.855,427,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Mn/Ca)
IAEA-457,Pb,46.33166666666667,105,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Pb/Ca)
IAEA-457,Sr,23.565,137,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Sr/Ca)
IAEA-457,V,282.5783333333333,87.4,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(V/Ca)
IAEA-457,Zn,67.33333333333333,425,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Zn/Ca)
IAEA-458,Cr,113.78666666666668,91.5,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Cr/Ca)
IAEA-458,Cu,66.43,48.1,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Cu/Ca)
IAEA-458,Fe,9773.493333333334,40700,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Fe/Ca)
IAEA-458,Mn,249.68333333333337,886,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Mn/Ca)
IAEA-458,Pb,30.368333333333332,35.5,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Pb/Ca)
IAEA-458,Sr,23.318333333333335,124,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Sr/Ca)
IAEA-458,V,274.5183333333333,99.8,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(V/Ca)
IAEA-458,Zn,19.95,154,"Wet, WS 1 x 15 mm",NA,NA,NA,NA,NA,NA,log(Zn/Ca)
IAEA-461,Cr,103.74666666666668,27,"Wet, WS 1 x 15 mm",1869.8683333333336,9270,0.055483407476997045,0.002912621359223301,-2.891671267306939,-5.838701792555572,log(Cr/Ca)
IAEA-461,Cu,52.818333333333335,26.1,"Wet, WS 1 x 15 mm",1869.8683333333336,9270,0.028247086916101935,0.0028155339805825243,-3.5667649447208056,-5.872603344231253,log(Cu/Ca)
IAEA-461,Fe,493.36,2600,"Wet, WS 1 x 15 mm",1869.8683333333336,9270,0.26384745449991576,0.28047464940668826,-1.3323841667043212,-1.2712719345503274,log(Fe/Ca)
IAEA-461,Mn,65.80833333333334,333,"Wet, WS 1 x 15 mm",1869.8683333333336,9270,0.03519410011934886,0.035922330097087375,-3.3468768206720236,-3.326396168579457,log(Mn/Ca)
IAEA-461,Pb,20.59,25.8,"Wet, WS 1 x 15 mm",1869.8683333333336,9270,0.01101147050460772,0.002783171521035599,-4.50881777634786,-5.884164166632329,log(Pb/Ca)
IAEA-461,V,138.18666666666664,6.86,"Wet, WS 1 x 15 mm",1869.8683333333336,9270,0.07390181661632145,7.400215749730313e-4,-2.6050178692418684,-7.208831216822107,log(V/Ca)
IAEA-461,Zn,29.631666666666668,156,"Wet, WS 1 x 15 mm",1869.8683333333336,9270,0.015846926833529274,0.016828478964401296,-4.144779688087134,-4.084682651310364,log(Zn/Ca)
IAEA-470,Cr,97.18666666666668,0.97,"Wet, WS 1 x 15 mm",659.85,2430,0.1472859993432851,3.991769547325103e-4,-1.915379008616936,-7.826105743819303,log(Cr/Ca)
IAEA-470,Cu,125.88166666666667,146,"Wet, WS 1 x 15 mm",659.85,2430,0.19077315551514235,0.060082304526748974,-1.6566702242314135,-2.812039914626258,log(Cu/Ca)
IAEA-470,Fe,100.805,131,"Wet, WS 1 x 15 mm",659.85,2430,0.15276956884140336,0.053909465020576135,-1.8788245788811637,-2.9204492131334425,log(Fe/Ca)
IAEA-470,Mg,272.85,3080,"Wet, WS 1 x 15 mm",659.85,2430,0.4135030688792908,1.2674897119341564,-0.8830903428305974,0.237038339633026,log(Mg/Ca)
IAEA-470,Mn,50.42666666666667,67,"Wet, WS 1 x 15 mm",659.85,2430,0.07642140890606451,0.02757201646090535,-2.571492400780746,-3.590953916943628,log(Mn/Ca)
IAEA-470,Pb,15.241666666666667,0.361,"Wet, WS 1 x 15 mm",659.85,2430,0.023098684044353515,1.48559670781893e-4,-3.7679796308540188,-8.81452385698385,log(Pb/Ca)
IAEA-470,Sr,2.1383333333333336,20.6,"Wet, WS 1 x 15 mm",659.85,2430,0.00324063549796671,0.008477366255144033,-5.731985827063348,-4.770355460539059,log(Sr/Ca)
IAEA-470,V,136.845,0.9,"Wet, WS 1 x 15 mm",659.85,2430,0.20738804273698566,3.703703703703704e-4,-1.573163637997291,-7.90100705199242,log(V/Ca)
IAEA-470,Zn,228.765,727,"Wet, WS 1 x 15 mm",659.85,2430,0.34669243009774947,0.29917695473251027,-1.0593172606865817,-1.206720058801075,log(Zn/Ca)
Lujaurite,Al,14050.758333333331,72186,"Wet, WS 1 x 15 mm",8353.055,23013,1.682110118194281,3.1367487941598227,0.5200490280131796,1.1431868476341736,log(Al/Ca)
Lujaurite,Ba,14.558333333333334,450,"Wet, WS 1 x 15 mm",8353.055,23013,0.001742875311288305,0.019554165037152915,-6.352219051842891,-3.9345669698630403,log(Ba/Ca)
Lujaurite,Cr,128.755,10,"Wet, WS 1 x 15 mm",8353.055,23013,0.015414120941380128,4.345370008256203e-4,-4.172471245453657,-7.74122945963336,log(Cr/Ca)
Lujaurite,Cu,28.133333333333333,13,"Wet, WS 1 x 15 mm",8353.055,23013,0.0033680292220431124,5.648981010733064e-4,-5.6934275062611,-7.478865195165869,log(Cu/Ca)
Lujaurite,Fe,11230.111666666668,622872,"Wet, WS 1 x 15 mm",8353.055,23013,1.344431668014477,27.066093077825577,0.29597137209159313,3.2982817665690236,log(Fe/Ca)
Lujaurite,K,9490.956666666669,45741,"Wet, WS 1 x 15 mm",8353.055,23013,1.1362258080027807,1.9876156954764699,0.1277120751962315,0.6869357774126108,log(K/Ca)
Lujaurite,Mg,270.0133333333333,1688,"Wet, WS 1 x 15 mm",8353.055,23013,0.0323250994197133,0.0733498457393647,-3.4319112786997636,-2.6125148774715035,log(Mg/Ca)
Lujaurite,Mn,1322.72,6000,"Wet, WS 1 x 15 mm",8353.055,23013,0.1583516449969502,0.2607222004953722,-1.8429371176905363,-1.3442998044172139,log(Mn/Ca)
Lujaurite,P,52.7,260,"Wet, WS 1 x 15 mm",8353.055,23013,0.006309068957405404,0.011297962021466127,-5.065767163647585,-4.483132921611879,log(P/Ca)
Lujaurite,Pb,28.315,43,"Wet, WS 1 x 15 mm",8353.055,23013,0.0033897777519721825,0.0018685091035501673,-5.6869909196291335,-6.2826144369338435,log(Pb/Ca)
Lujaurite,S,56.8475,650,"Wet, WS 1 x 15 mm",8353.055,23013,0.0068055938815199946,0.02824490505366532,-4.990010375339092,-3.566842189737723,log(S/Ca)
Lujaurite,Si,40915.49833333333,244992,"Wet, WS 1 x 15 mm",8353.055,23013,4.898267559992521,10.645808890627038,1.5888815834145964,2.365166283305111,log(Si/Ca)
Lujaurite,Sr,768.175,4600,"Wet, WS 1 x 15 mm",8353.055,23013,0.09196335951337564,0.19988702037978534,-2.386365047421087,-1.6100029701502196,log(Sr/Ca)
Lujaurite,Ti,527.005,2900,"Wet, WS 1 x 15 mm",8353.055,23013,0.06309128815744658,0.12601573023942989,-2.763172583032513,-2.071348536652841,log(Ti/Ca)
Lujaurite,U,39.29833333333333,14,"Wet, WS 1 x 15 mm",8353.055,23013,0.0047046659375920945,6.083518011558685e-4,-5.35920051004,-7.4047572230121474,log(U/Ca)
Lujaurite,V,232.32,81,"Wet, WS 1 x 15 mm",8353.055,23013,0.02781257875112758,0.0035197497066875244,-3.5822668875584704,-5.649365397954967,log(V/Ca)
Lujaurite,Zn,48.495,395,"Wet, WS 1 x 15 mm",8353.055,23013,0.005805660324276566,0.017164211532612002,-5.148921919349395,-4.064928787726284,log(Zn/Ca)
Lujaurite,Zr,1706.12,11000,"Wet, WS 1 x 15 mm",8353.055,23013,0.20425101953716332,0.47799070090818235,-1.5884055536404642,-0.7381640008468984,log(Zr/Ca)
NCS DC60113 Gypsum,Fe,889.77,4406,"Wet, WS 1 x 15 mm",58830.59166666667,200116,0.01512427420484609,0.022017230006596174,-4.1914542626730755,-3.8159299500328943,log(Fe/Ca)
NCS DC60113 Gypsum,K,912.2983333333332,3155,"Wet, WS 1 x 15 mm",58830.59166666667,200116,0.015507209896891793,0.01576585580363389,-4.166450208569638,-4.14990870241987,log(K/Ca)
NCS DC60113 Gypsum,Mg,8189.436666666667,29677,"Wet, WS 1 x 15 mm",58830.59166666667,200116,0.13920371076782476,0.1482989865877791,-1.971816873622298,-1.908524863389724,log(Mg/Ca)
NCS DC60113 Gypsum,S,41451.34333333333,13030,"Wet, WS 1 x 15 mm",58830.59166666667,200116,0.7045882449762885,0.06511223490375583,-0.3501416964723439,-2.731642807276292,log(S/Ca)
NCS DC60113 Gypsum,Si,13116.956666666669,33707,"Wet, WS 1 x 15 mm",58830.59166666667,200116,0.22296149494785242,0.16843730636230986,-1.5007561908262026,-1.781191667491,log(Si/Ca)
NCS DC60114 Gypsum,Fe,245.195,2658,"Wet, WS 1 x 15 mm",48870.736666666664,216411,0.0050172151419039385,0.012282185286330178,-5.294880251819437,-4.399605417182357,log(Fe/Ca)
NCS DC60114 Gypsum,K,206.84,1909,"Wet, WS 1 x 15 mm",48870.736666666664,216411,0.004232389648856668,0.008821178221070093,-5.464988516628434,-4.7305998327298004,log(K/Ca)
NCS DC60114 Gypsum,Mg,716.58,19242,"Wet, WS 1 x 15 mm",48870.736666666664,216411,0.014662762398847956,0.08891414946560018,-4.222444169248064,-2.420083987534338,log(Mg/Ca)
NCS DC60114 Gypsum,S,35104.59166666667,15070,"Wet, WS 1 x 15 mm",48870.736666666664,216411,0.718315173067782,0.06963601665349728,-0.3308468465441077,-2.6644733648350067,log(S/Ca)
NCS DC60114 Gypsum,Si,4936.078333333333,19448,"Wet, WS 1 x 15 mm",48870.736666666664,216411,0.101002740494806,0.08986604192947678,-2.2926076288970467,-2.4094351404595886,log(Si/Ca)
NCS DC60114 Gypsum,Ti,9.46,348,"Wet, WS 1 x 15 mm",48870.736666666664,216411,1.9357187235633378e-4,0.001608051346743003,-8.549861681092668,-6.432732176681073,log(Ti/Ca)
NCS DC60116,Fe,157.6233333333333,650,"Wet, WS 1 x 15 mm",205.33333333333331,550,0.7676461038961039,1.1818181818181819,-0.2644264542550486,0.16705408466316624,log(Fe/Ca)
NCS DC60116,K,9.465,506,"Wet, WS 1 x 15 mm",205.33333333333331,550,0.046095779220779225,0.92,-3.077033890204124,-0.08338160893905101,log(K/Ca)
NCS DC60116,Mg,178.69666666666666,398,"Wet, WS 1 x 15 mm",205.33333333333331,550,0.8702759740259741,0.7236363636363636,-0.1389449061103379,-0.3234662729420789,log(Mg/Ca)
NCS DC60116,Mn,46.336666666666666,12,"Wet, WS 1 x 15 mm",205.33333333333331,550,0.22566558441558443,0.02181818181818182,-1.4887010905445184,-3.8250116284385163,log(Mn/Ca)
NCS DC60116,P,63.92833333333333,18,"Wet, WS 1 x 15 mm",205.33333333333331,550,0.3113392857142857,0.03272727272727273,-1.1668720106075348,-3.4195465203303517,log(P/Ca)
NCS DC60116,Si,45309.316666666666,460534,"Wet, WS 1 x 15 mm",205.33333333333331,550,220.6622564935065,837.3345454545455,5.3966332813902085,6.730223686515921,log(Si/Ca)
NCS DC60116,Ti,12.056666666666668,120,"Wet, WS 1 x 15 mm",205.33333333333331,550,0.05871753246753248,0.21818181818181817,-2.835016917569513,-1.5224265354444706,log(Ti/Ca)
NCS DC60117 Siliceous Sand and Ore,Fe,244.1,615,"Wet, WS 1 x 15 mm",324.3016666666667,672,0.7526942507233491,0.9151785714285714,-0.28409617517548647,-0.08863607271663171,log(Fe/Ca)
NCS DC60117 Siliceous Sand and Ore,K,1296.965,10460,"Wet, WS 1 x 15 mm",324.3016666666667,672,3.999254809051243,15.56547619047619,1.3861080460271225,2.7450553970957645,log(K/Ca)
NCS DC60117 Siliceous Sand and Ore,Mg,178.85333333333332,151,"Wet, WS 1 x 15 mm",324.3016666666667,672,0.5515029730549231,0.22470238095238096,-0.5951080494510287,-1.4929785037082253,log(Mg/Ca)
NCS DC60117 Siliceous Sand and Ore,Mn,61.49333333333333,1936,"Wet, WS 1 x 15 mm",324.3016666666667,672,0.18961769134704826,2.880952380952381,-1.6627453847217617,1.0581209273133727,log(Mn/Ca)
NCS DC60117 Siliceous Sand and Ore,P,14.830000000000002,41,"Wet, WS 1 x 15 mm",324.3016666666667,672,0.045729028014040426,0.06101190476190476,-3.08502199642456,-2.7966862738188416,log(P/Ca)
NCS DC60117 Siliceous Sand and Ore,Si,101377.22166666666,441367,"Wet, WS 1 x 15 mm",324.3016666666667,672,312.601605501051,656.796130952381,5.7449295539340435,6.487373667366271,log(Si/Ca)
NCS DC60117 Siliceous Sand and Ore,Ti,22.35,114,"Wet, WS 1 x 15 mm",324.3016666666667,672,0.06891731464017556,0.16964285714285715,-2.674847831514823,-1.7740598921286541,log(Ti/Ca)
NCS DC71306 Rock,Ba,88.90166666666667,44.3,"Wet, WS 1 x 15 mm",88188.45833333334,214553,0.0010080873205724672,2.0647578919893918e-4,-6.899700485532859,-8.485327396025426,log(Ba/Ca)
