standard_ID,element,measured_conc,standard_conc,configuration
Lujaurite,Cr,128.755,10,"Wet, WS 1 x 15 mm"
Lujaurite,Cu,28.133333333333333,13,"Wet, WS 1 x 15 mm"
Lujaurite,Fe,11230.111666666668,622872,"Wet, WS 1 x 15 mm"
Lujaurite,K,9490.956666666667,45741,"Wet, WS 1 x 15 mm"
Lujaurite,Mg,270.0133333333333,1688,"Wet, WS 1 x 15 mm"
Lujaurite,Mn,1322.72,6000,"Wet, WS 1 x 15 mm"
Lujaurite,P,52.7,260,"Wet, WS 1 x 15 mm"
Lujaurite,Pb,28.314999999999998,43,"Wet, WS 1 x 15 mm"
Lujaurite,S,56.847500000000004,650,"Wet, WS 1 x 15 mm"
Lujaurite,Si,40915.49833333333,244992,"Wet, WS 1 x 15 mm"
Lujaurite,Sr,768.175,4600,"Wet, WS 1 x 15 mm"
Lujaurite,Ti,527.005,2900,"Wet, WS 1 x 15 mm"
Lujaurite,U,39.29833333333333,14,"Wet, WS 1 x 15 mm"
Lujaurite,V,232.32,81,"Wet, WS 1 x 15 mm"
Lujaurite,Zn,48.495,395,"Wet, WS 1 x 15 mm"
Lujaurite,Zr,1706.1200000000001,11000,"Wet, WS 1 x 15 mm"
NCS DC60113 Gypsum,Ca,58830.59166666667,200116,"Wet, WS 1 x 15 mm"
NCS DC60113 Gypsum,Fe,889.77,4406,"Wet, WS 1 x 15 mm"
NCS DC60113 Gypsum,K,912.2983333333333,3155,"Wet, WS 1 x 15 mm"
NCS DC60113 Gypsum,Mg,8189.4366666666665,29677,"Wet, WS 1 x 15 mm"
NCS DC60113 Gypsum,S,41451.34333333333,13030,"Wet, WS 1 x 15 mm"
NCS DC60113 Gypsum,Si,13116.956666666667,33707,"Wet, WS 1 x 15 mm"
NCS DC60114 Gypsum,Ca,48870.736666666664,216411,"Wet, WS 1 x 15 mm"
NCS DC60114 Gypsum,Fe,245.19500000000002,2658,"Wet, WS 1 x 15 mm"
NCS DC60114 Gypsum,K,206.84,1909,"Wet, WS 1 x 15 mm"
NCS DC60114 Gypsum,Mg,716.58,19242,"Wet, WS 1 x 15 mm"
NCS DC60114 Gypsum,S,35104.59166666667,15070,"Wet, WS 1 x 15 mm"
NCS DC60114 Gypsum,Si,4936.078333333333,19448,"Wet, WS 1 x 15 mm"
NCS DC60114 Gypsum,Ti,9.46,348,"Wet, WS 1 x 15 mm"
NCS DC60116,Ca,205.33333333333331,550,"Wet, WS 1 x 15 mm"
NCS DC60116,Fe,157.62333333333333,650,"Wet, WS 1 x 15 mm"
NCS DC60116,K,9.465,506,"Wet, WS 1 x 15 mm"
NCS DC60116,Mg,178.69666666666666,398,"Wet, WS 1 x 15 mm"
NCS DC60116,Mn,46.336666666666666,12,"Wet, WS 1 x 15 mm"
NCS DC60116,P,63.92833333333333,18,"Wet, WS 1 x 15 mm"
NCS DC60116,Si,45309.316666666666,460534,"Wet, WS 1 x 15 mm"
NCS DC60116,Ti,12.056666666666667,120,"Wet, WS 1 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Ca,324.3016666666667,672,"Wet, WS 1 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Fe,244.1,615,"Wet, WS 1 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,K,1296.965,10460,"Wet, WS 1 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Mg,178.85333333333332,151,"Wet, WS 1 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Mn,61.49333333333333,1936,"Wet, WS 1 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,P,14.830000000000002,41,"Wet, WS 1 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Si,101377.22166666666,441367,"Wet, WS 1 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Ti,22.349999999999998,114,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,Ba,88.90166666666667,44.3,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,Ca,88188.45833333334,214553,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,Cr,206.32333333333332,2.6,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,Fe,122.865,1329,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,Mg,39587.63333333333,131498,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,Mn,142.82500000000002,77,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,P,31.468333333333334,26,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,Pb,29.57,4.44,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,Si,1134.1183333333333,2899,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,Sr,4.73,27,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,U,7.833333333333334,0.16,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,V,367.5,21,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,Zn,18.764999999999997,11.7,"Wet, WS 1 x 15 mm"
NCS DC71306 Rock,Zr,4.465,3,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,Ba,27.06,343,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,Ca,3689.8216666666667,11078,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,Cr,155.54166666666669,5,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,Cu,48.413333333333334,3.2,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,Fe,4060.735,7204,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,K,15284.533333333333,41591,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,Mg,200.70833333333331,2533,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,Mn,127.63833333333334,463,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,P,41.72666666666667,177,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,Pb,30.331666666666667,31,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,Si,99704.115,340480,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,Sr,25.851666666666667,106,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,Ti,530.1383333333333,2,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,U,121.13666666666667,18.8,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,V,278.3883333333333,24,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,Zn,14.946666666666667,28,"Wet, WS 1 x 15 mm"
NCS DC73301 Rock,Zr,50.22666666666667,167,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,Ba,13.783333333333333,450,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,Ca,866.8333333333334,4288,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,Cr,114.64333333333333,99,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,Cu,33.06666666666666,42,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,Fe,10496.595,9722,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,K,7582.778333333334,34534,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,Mg,262.57666666666665,12124,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,Mn,64.64166666666667,173,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,Pb,21.031666666666666,1.5,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,Si,48651.36666666666,276900,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,Sr,10.846666666666666,90,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,Ti,848.4583333333334,3950,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,U,40.76,2.1,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,V,283.5083333333333,87,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,Zn,13.973333333333334,20,"Wet, WS 1 x 15 mm"
NCS DC73305 Rock,Zr,21.056666666666665,214,"Wet, WS 1 x 15 mm"
Titano Gypsum TIG-1,Ca,18125.905000000002,230848,"Wet, WS 1 x 15 mm"
Titano Gypsum TIG-1,Cr,118.35,246,"Wet, WS 1 x 15 mm"
Titano Gypsum TIG-1,Mn,49.53,35,"Wet, WS 1 x 15 mm"
Titano Gypsum TIG-1,P,31.055,175,"Wet, WS 1 x 15 mm"
Titano Gypsum TIG-1,S,14009.086666666666,17370,"Wet, WS 1 x 15 mm"
Titano Gypsum TIG-1,Si,602.6983333333334,514,"Wet, WS 1 x 15 mm"
Titano Gypsum TIG-1,Ti,621.665,4916,"Wet, WS 1 x 15 mm"
Titano Gypsum TIG-1,U,5.0633333333333335,2.5,"Wet, WS 1 x 15 mm"
Titano Gypsum TIG-1,V,262.08333333333337,560,"Wet, WS 1 x 15 mm"
Titano Gypsum TIG-1,Zn,10.71,32,"Wet, WS 1 x 15 mm"
Titano Gypsum TIG-1,Zr,1.5116666666666667,80,"Wet, WS 1 x 15 mm"
