standard_ID,element,measured_conc,standard_conc,configuration
IAEA-470,Sr,3.105,20.6,"Dry, WS 10 x 15 mm"
IAEA-470,V,18.676666666666666,0.9,"Dry, WS 10 x 15 mm"
IAEA-470,Zn,313.97333333333336,727,"Dry, WS 10 x 15 mm"
Lujaurite,Al,39164.09333333333,72172,"Dry, WS 10 x 15 mm"
Lujaurite,Ca,9452.995,23013,"Dry, WS 10 x 15 mm"
Lujaurite,Fe,21551.778333333332,69293,"Dry, WS 10 x 15 mm"
Lujaurite,K,19180.898333333334,45675,"Dry, WS 10 x 15 mm"
Lujaurite,Mn,2366.358333333333,6000,"Dry, WS 10 x 15 mm"
Lujaurite,Pb,15.513333333333334,43,"Dry, WS 10 x 15 mm"
Lujaurite,Si,99655.80333333333,244969,"Dry, WS 10 x 15 mm"
Lujaurite,Sr,1415.18,4600,"Dry, WS 10 x 15 mm"
Lujaurite,Ti,1033.5583333333334,2900,"Dry, WS 10 x 15 mm"
Lujaurite,U,50.93,14,"Dry, WS 10 x 15 mm"
Lujaurite,V,63.178333333333335,81,"Dry, WS 10 x 15 mm"
Lujaurite,Zn,117.06333333333333,395,"Dry, WS 10 x 15 mm"
Lujaurite,Zr,3238.518333333333,11000,"Dry, WS 10 x 15 mm"
NCS DC60113 Gypsum,Al,6382.181666666667,10161,"Dry, WS 10 x 15 mm"
NCS DC60113 Gypsum,Ca,86627.00833333333,200116,"Dry, WS 10 x 15 mm"
NCS DC60113 Gypsum,Fe,1426.8566666666668,4406,"Dry, WS 10 x 15 mm"
NCS DC60113 Gypsum,K,1471.7066666666667,3155,"Dry, WS 10 x 15 mm"
NCS DC60113 Gypsum,Mg,11695.841666666667,29677,"Dry, WS 10 x 15 mm"
NCS DC60113 Gypsum,Si,18006.551666666666,33707,"Dry, WS 10 x 15 mm"
NCS DC60114 Gypsum,Al,4259.873333333333,6033,"Dry, WS 10 x 15 mm"
NCS DC60114 Gypsum,Ca,98318.8,216411,"Dry, WS 10 x 15 mm"
NCS DC60114 Gypsum,Fe,816.26,2658,"Dry, WS 10 x 15 mm"
NCS DC60114 Gypsum,K,769.1800000000001,1909,"Dry, WS 10 x 15 mm"
NCS DC60114 Gypsum,Mg,6796.09,19242,"Dry, WS 10 x 15 mm"
NCS DC60114 Gypsum,S,78427.19666666667,150560,"Dry, WS 10 x 15 mm"
NCS DC60114 Gypsum,Si,11792.308333333334,19448,"Dry, WS 10 x 15 mm"
NCS DC60114 Gypsum,Ti,4.658333333333333,348,"Dry, WS 10 x 15 mm"
NCS DC60116,Al,4855.873333333333,4445,"Dry, WS 10 x 15 mm"
NCS DC60116,Ca,406.03000000000003,550,"Dry, WS 10 x 15 mm"
NCS DC60116,Fe,454.74,650,"Dry, WS 10 x 15 mm"
NCS DC60116,K,108.57666666666667,506,"Dry, WS 10 x 15 mm"
NCS DC60116,Mn,65.31666666666666,12,"Dry, WS 10 x 15 mm"
NCS DC60116,Si,221387.57666666666,460534,"Dry, WS 10 x 15 mm"
NCS DC60116,Ti,71.82333333333334,120,"Dry, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Al,9919.993333333334,16934,"Dry, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Ca,693.8933333333333,672,"Dry, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Fe,293.67333333333335,615,"Dry, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,K,2782.945,10460,"Dry, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Mg,321.505,151,"Dry, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Mn,69.99666666666667,1936,"Dry, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Si,211684.23,441367,"Dry, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Ti,108.61500000000001,114,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,Al,855.695,529,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,Ba,19.283333333333335,44.3,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,Ca,108011.16166666667,214553,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,Cr,2.7333333333333334,2.6,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,Fe,371.6,1329,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,K,28.493333333333332,315,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,Mg,64338.10666666667,131498,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,Mn,36.99333333333333,77,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,P,27.288333333333334,26,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,Pb,4.5600000000000005,4.44,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,Si,2117.826666666667,2899,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,Sr,6.465,27,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,Ti,50.068333333333335,90,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,U,1.1333333333333333,11.235,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,V,40.5,21,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,Zn,3.8583333333333334,11.7,"Dry, WS 10 x 15 mm"
NCS DC71306 Rock,Zr,0.59,3,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,Al,41986.70333333333,70913,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,Ca,5594.098333333333,11078,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,Cr,46.00666666666667,5,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,Cu,6.366666666666666,3.2,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,Fe,5038.968333333333,7204,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,K,20571.016666666666,41591,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,Mg,563.5333333333333,2533,"Dry, WS 10 x 15 mm"
