standard_ID,element,measured_conc,standard_conc,configuration
Lujaurite,Cr,44.83166666666667,10,"Wet, WS 10 x 15 mm"
Lujaurite,Cu,11.51,13,"Wet, WS 10 x 15 mm"
Lujaurite,Fe,11049.518333333333,622872,"Wet, WS 10 x 15 mm"
Lujaurite,K,10295.705,45741,"Wet, WS 10 x 15 mm"
Lujaurite,Mg,256.79499999999996,1688,"Wet, WS 10 x 15 mm"
Lujaurite,Mn,1272.6666666666667,6000,"Wet, WS 10 x 15 mm"
Lujaurite,Pb,9.3,43,"Wet, WS 10 x 15 mm"
Lujaurite,S,20.91,650,"Wet, WS 10 x 15 mm"
Lujaurite,Si,55372.53666666667,244992,"Wet, WS 10 x 15 mm"
Lujaurite,Sr,777.1816666666666,4600,"Wet, WS 10 x 15 mm"
Lujaurite,Ti,515.8783333333333,2900,"Wet, WS 10 x 15 mm"
Lujaurite,U,29.915,14,"Wet, WS 10 x 15 mm"
Lujaurite,V,31.528333333333336,81,"Wet, WS 10 x 15 mm"
Lujaurite,Zn,66.97666666666666,395,"Wet, WS 10 x 15 mm"
Lujaurite,Zr,1776.7366666666667,11000,"Wet, WS 10 x 15 mm"
NCS DC60113 Gypsum,Ca,61008.096666666665,200116,"Wet, WS 10 x 15 mm"
NCS DC60113 Gypsum,Fe,900.7333333333333,4406,"Wet, WS 10 x 15 mm"
NCS DC60113 Gypsum,K,1129.3283333333334,3155,"Wet, WS 10 x 15 mm"
NCS DC60113 Gypsum,Mg,10294.491666666667,29677,"Wet, WS 10 x 15 mm"
NCS DC60113 Gypsum,S,45493.46666666667,13030,"Wet, WS 10 x 15 mm"
NCS DC60113 Gypsum,Si,14403.560000000001,33707,"Wet, WS 10 x 15 mm"
NCS DC60114 Gypsum,Ca,61556.808333333334,216411,"Wet, WS 10 x 15 mm"
NCS DC60114 Gypsum,Fe,305.44,2658,"Wet, WS 10 x 15 mm"
NCS DC60114 Gypsum,K,522.7416666666667,1909,"Wet, WS 10 x 15 mm"
NCS DC60114 Gypsum,Mg,4484.22,19242,"Wet, WS 10 x 15 mm"
NCS DC60114 Gypsum,S,53206.54833333333,15070,"Wet, WS 10 x 15 mm"
NCS DC60114 Gypsum,Si,8684.161666666667,19448,"Wet, WS 10 x 15 mm"
NCS DC60114 Gypsum,Ti,11.468333333333334,348,"Wet, WS 10 x 15 mm"
NCS DC60116,Ca,306.75666666666666,550,"Wet, WS 10 x 15 mm"
NCS DC60116,Fe,290.8666666666667,650,"Wet, WS 10 x 15 mm"
NCS DC60116,K,77.87,506,"Wet, WS 10 x 15 mm"
NCS DC60116,Mg,112.94,398,"Wet, WS 10 x 15 mm"
NCS DC60116,Mn,52.4,12,"Wet, WS 10 x 15 mm"
NCS DC60116,Si,115714.86,460534,"Wet, WS 10 x 15 mm"
NCS DC60116,Ti,23.726666666666667,120,"Wet, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Ca,388.235,672,"Wet, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Fe,105.87333333333333,615,"Wet, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,K,1390.665,10460,"Wet, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Mg,144.46166666666667,151,"Wet, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Mn,51.14666666666667,1936,"Wet, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Si,103426.27166666667,441367,"Wet, WS 10 x 15 mm"
NCS DC60117 Siliceous Sand and Ore,Ti,42.410000000000004,114,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,Ba,31.156666666666666,44.3,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,Ca,87514.69166666667,214553,"Wet, WS 10 x 15 mm"
