replication,standard_ID,element,concentration,error
standard,NCS DC60113 Gypsum,Sr,,
standard,NCS DC60113 Gypsum,Zn,,
standard,NCS DC60113 Gypsum,Cu,,
standard,NCS DC60113 Gypsum,Fe,4406,
standard,NCS DC60113 Gypsum,Mn,,
standard,NCS DC60113 Gypsum,Cr,,
standard,NCS DC60113 Gypsum,V,,
standard,NCS DC60113 Gypsum,Ti,,
standard,NCS DC60113 Gypsum,Ca,200116,
standard,NCS DC60113 Gypsum,K,3155,
standard,NCS DC60113 Gypsum,S,13030,
standard,NCS DC60113 Gypsum,P,,
standard,NCS DC60113 Gypsum,Si,33707,
standard,NCS DC60113 Gypsum,Al,,
standard,NCS DC60114 Gypsum,Mg,19242,
standard,NCS DC60114 Gypsum,U,,
standard,NCS DC60114 Gypsum,Pb,,
standard,NCS DC60114 Gypsum,Ba,,
standard,NCS DC60114 Gypsum,Zr,,
standard,NCS DC60114 Gypsum,Sr,,
standard,NCS DC60114 Gypsum,Zn,,
standard,NCS DC60114 Gypsum,Cu,,
standard,NCS DC60114 Gypsum,Fe,2658,
standard,NCS DC60114 Gypsum,Mn,,
standard,NCS DC60114 Gypsum,Cr,,
standard,NCS DC60114 Gypsum,V,,
standard,NCS DC60114 Gypsum,Ti,348,
standard,NCS DC60114 Gypsum,Ca,216411,
standard,NCS DC60114 Gypsum,K,1909,
standard,NCS DC60114 Gypsum,S,15070,
standard,NCS DC60114 Gypsum,P,,
standard,NCS DC60114 Gypsum,Si,19448,
standard,NCS DC60114 Gypsum,Al,,
standard,NCS DC60116,Mg,398,
standard,NCS DC60116,U,,
standard,NCS DC60116,Pb,,
standard,NCS DC60116,Ba,,
standard,NCS DC60116,Zr,,
standard,NCS DC60116,Sr,,
standard,NCS DC60116,Zn,,
standard,NCS DC60116,Cu,,
standard,NCS DC60116,Fe,650,
standard,NCS DC60116,Mn,12,
standard,NCS DC60116,Cr,,
standard,NCS DC60116,V,,
standard,NCS DC60116,Ti,120,
standard,NCS DC60116,Ca,550,
standard,NCS DC60116,K,506,
standard,NCS DC60116,S,,
standard,NCS DC60116,P,18,
standard,NCS DC60116,Si,460534,
