standard_ID,element,measured_conc,standard_conc,configuration,measured_ca,standard_ca,measured_ratio,standard_ratio,measured_ratio_log,standard_ratio_log,ratio_id_log
Aragonite ST SEV 565-85,Fe,618.1883333333333,909,"Dry, WS 1 x 15 mm",137918.65166666667,392370,0.004482267814127291,0.002316690878507531,-5.407626152124994,-6.0676154569738285,log(Fe/Ca)
Aragonite ST SEV 565-85,Mg,195.16666666666663,664,"Dry, WS 1 x 15 mm",137918.65166666667,392370,0.001415085373212332,0.0016922802456864694,-6.5605654152813075,-6.381678401674874,log(Mg/Ca)
Aragonite ST SEV 565-85,P,24.056666666666665,13,"Dry, WS 1 x 15 mm",137918.65166666667,392370,1.7442649254437918e-4,3.313199276193389e-5,-8.654007151234898,-10.31501119368977,log(P/Ca)
Aragonite ST SEV 565-85,Si,1010.0433333333334,2992,"Dry, WS 1 x 15 mm",137918.65166666667,392370,0.00732347163438409,0.007625455564900477,-4.916670796445598,-4.87626321205694,log(Si/Ca)
Aragonite ST SEV 565-85,Sr,723.2966666666667,0.28,"Dry, WS 1 x 15 mm",137918.65166666667,392370,0.005244371648983276,7.136121517954992e-7,-5.250599844313658,-14.152926226964196,log(Sr/Ca)
Aragonite ST SEV 565-85,Zn,25.52166666666667,20.6,"Dry, WS 1 x 15 mm",137918.65166666667,392370,1.8504869615713446e-4,5.2501465453526014e-5,-8.594891545051908,-9.854669475355772,log(Zn/Ca)
Carbonatite,Al,1656.66,4100,"Dry, WS 1 x 15 mm",126768.475,355706,0.01306839101756174,0.011526372903465221,-4.337558863930803,-4.463117573249197,log(Al/Ca)
Carbonatite,Ba,202.93,310,"Dry, WS 1 x 15 mm",126768.475,355706,0.0016007923105488173,8.715062439205411e-4,-6.437256578211524,-7.045287528462405,log(Ba/Ca)
Carbonatite,Cr,285.34,35,"Dry, WS 1 x 15 mm",126768.475,355706,0.002250875069689053,9.839586624909335e-5,-6.096436218513733,-9.226511764452182,log(Cr/Ca)
Carbonatite,Cu,96.96833333333332,10,"Dry, WS 1 x 15 mm",126768.475,355706,7.649246654843273e-4,2.81131046425981e-5,-7.1757332054779415,-10.47927473294755,log(Cu/Ca)
Carbonatite,Fe,4413.778333333333,22342.6,"Dry, WS 1 x 15 mm",126768.475,355706,0.03481763374792773,0.06281198517877123,-3.357631303644887,-2.7676093769211967,log(Fe/Ca)
Carbonatite,Mg,1396.845,11881,"Dry, WS 1 x 15 mm",126768.475,355706,0.011018867269642551,0.0334011796258708,-4.508146269139158,-3.399164061483309,log(Mg/Ca)
Carbonatite,Mn,414.935,1394,"Dry, WS 1 x 15 mm",126768.475,355706,0.00327317181972884,0.003918966787178175,-5.721995788742939,-5.541927234621127,log(Mn/Ca)
Carbonatite,P,2199.635,8946,"Dry, WS 1 x 15 mm",126768.475,355706,0.017351593130705407,0.02514998341326826,-4.0540709537093385,-3.682898041948803,log(P/Ca)
Carbonatite,Pb,46.696666666666665,20,"Dry, WS 1 x 15 mm",126768.475,355706,3.6836182392086566e-4,5.62262092851962e-5,-7.9064448856604885,-9.786127552387605,log(Pb/Ca)
Carbonatite,Si,6499.4349999999995,14399,"Dry, WS 1 x 15 mm",126768.475,355706,0.051270120587945854,0.040480059374877,-2.9706471411716255,-3.206945787233326,log(Si/Ca)
Carbonatite,Sr,477.435,1600,"Dry, WS 1 x 15 mm",126768.475,355706,0.0037661966036903103,0.004498096742815696,-5.581689645200004,-5.404100917713723,log(Sr/Ca)
Carbonatite,Ti,16.261666666666667,300,"Dry, WS 1 x 15 mm",126768.475,355706,1.2827847512298832e-4,8.43393139277943e-4,-8.961307070308598,-7.078077351285395,log(Ti/Ca)
Carbonatite,V,401.31666666666666,27,"Dry, WS 1 x 15 mm",126768.475,355706,0.003165745006135529,7.590538253501487e-5,-5.755366862101268,-9.486022959937268,log(V/Ca)
Carbonatite,Zn,23.203333333333333,25,"Dry, WS 1 x 15 mm",126768.475,355706,1.8303709446164225e-4,7.028276160649525e-5,-8.605821723687935,-9.562984001073396,log(Zn/Ca)
Carbonatite,Zr,10.04,87,"Dry, WS 1 x 15 mm",126768.475,355706,7.919950129557052e-5,2.4458401039060347e-4,-9.443540555936819,-8.315951707287013,log(Zr/Ca)
IAEA-158A,Ba,6.088333333333333,1031,"Dry, WS 1 x 15 mm",29782.49,65300,2.044266054763498e-4,0.015788667687595712,-8.495301544326676,-4.148462831247563,log(Ba/Ca)
IAEA-158A,Cr,188.75333333333333,77,"Dry, WS 1 x 15 mm",29782.49,65300,0.006337728421409134,0.0011791730474732007,-5.061234867888464,-6.742941893410839,log(Cr/Ca)
IAEA-158A,Fe,9705.973333333332,26600,"Dry, WS 1 x 15 mm",29782.49,65300,0.3258952939574002,0.40735068912710565,-1.1211791333858692,-0.898080820494732,log(Fe/Ca)
IAEA-158A,K,7381.610000000001,20500,"Dry, WS 1 x 15 mm",29782.49,65300,0.24785066661652536,0.31393568147013784,-1.3949288649225386,-1.1585671501380228,log(K/Ca)
IAEA-158A,Mg,2017.3733333333337,10860,"Dry, WS 1 x 15 mm",29782.49,65300,0.06773689282975781,0.1663093415007657,-2.6921243017062677,-1.793905721776596,log(Mg/Ca)
IAEA-158A,Mn,140.38333333333333,367,"Dry, WS 1 x 15 mm",29782.49,65300,0.004713619758903077,0.005620214395099541,-5.3572991398125485,-5.181385467209952,log(Mn/Ca)
IAEA-158A,Pb,44.879999999999995,41,"Dry, WS 1 x 15 mm",29782.49,65300,0.0015069257137331363,6.278713629402756e-4,-6.49768365469137,-7.373175248560215,log(Pb/Ca)
