Exported at 24/04/2024 14:10:49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Core ID:,Nowe standardy suche 10x15 he 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Comments:,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
XRF Measurement Mode:,He - 15x10mm, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Depth,Depth In Core,Time Stamp,Laser Profiler,XRF Total Live Time,XRF Total Counts,,XRF Elements(ppm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,XRF Oxides(ppm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cm,cm,,mm,Seconds,Beam 1,Beam 2,LE (Value),Mg (Value),Mg (Error),Al (Value),Al (Error),Si (Value),Si (Error),P (Value),P (Error),S (Value),S (Error),K (Value),K (Error),Ca (Value),Ca (Error),Ti (Value),Ti (Error),V (Value),V (Error),Cr (Value),Cr (Error),Mn (Value),Mn (Error),Fe (Value),Fe (Error),Ni (Value),Ni (Error),Cu (Value),Cu (Error),Zn (Value),Zn (Error),As (Value),As (Error),Sr (Value),Sr (Error),Zr (Value),Zr (Error),Mo (Value),Mo (Error),Ba (Value),Ba (Error),Pb (Value),Pb (Error),U (Value),U (Error),LE (Value),MgO (Value),MgO (Error),Al2O3 (Value),Al2O3 (Error),SiO2 (Value),SiO2 (Error),P2O5 (Value),P2O5 (Error),SO3 (Value),SO3 (Error),K2O (Value),K2O (Error),CaO (Value),CaO (Error),TiO2 (Value),TiO2 (Error),V2O5 (Value),V2O5 (Error),Cr2O3 (Value),Cr2O3 (Error),Mn2O3 (Value),Mn2O3 (Error),Fe2O3 (Value),Fe2O3 (Error),NiO (Value),NiO (Error),CuO (Value),CuO (Error),ZnO (Value),ZnO (Error),As2O3 (Value),As2O3 (Error),SrO (Value),SrO (Error),ZrO2 (Value),ZrO2 (Error),MoO2 (Value),MoO2 (Error),BaO (Value),BaO (Error),PbO (Value),PbO (Error),UO2 (Value),UO2 (Error)
0,0,24/04/2024 11:30:06*,-0.123, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.11,0.1,24/04/2024 11:30:06*,-0.793, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2,0.2,24/04/2024 11:30:06*,-1.283, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.3,0.3,24/04/2024 11:30:06*,-1.913, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.4,0.4,24/04/2024 11:30:06*,-2.387, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.5,0.5,24/04/2024 11:30:06*,-2.621, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.6,0.6,24/04/2024 11:30:06*,-2.613, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.7,0.7,24/04/2024 11:30:06*,-2.721, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.8,0.8,24/04/2024 11:30:06*,-2.583, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.9,0.9,24/04/2024 11:30:06*,-2.599, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,1,24/04/2024 11:30:06*,-2.247, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1.1,1.1,24/04/2024 11:30:06*,-2.555, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1.2,1.2,24/04/2024 11:30:06*,-2.581, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1.3,1.3,24/04/2024 11:30:06*,-2.45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1.4,1.4,24/04/2024 11:30:06*,-2.267, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1.5,1.5,24/04/2024 11:30:06*,-2.085, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1.6,1.6,24/04/2024 11:30:06*,-1.113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1.7,1.7,24/04/2024 11:30:06*,-0.081, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1.8,1.8,24/04/2024 11:30:06*,-2.666, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1.9,1.9,24/04/2024 11:30:06*,-3.272, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2,24/04/2024 11:30:06*,-3.445, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2.11,2.1,24/04/2024 11:30:06*,-3.65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2.21,2.2,24/04/2024 11:30:06*,-3.706, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2.31,2.3,24/04/2024 11:30:06*,-3.535, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2.41,2.4,24/04/2024 11:30:06*,-3.44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2.51,2.5,24/04/2024 11:30:06*,-3.53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2.61,2.6,24/04/2024 11:30:06*,-3.685, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2.71,2.7,24/04/2024 11:30:06*,-3.818, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2.81,2.8,24/04/2024 11:30:06*,-3.955, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2.91,2.9,24/04/2024 11:30:06*,-4.016, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
IAEA-478,3,24/04/2024 11:30:06,-3.937,16.4,1067717,376533,825132.04,2093.52,680.11,26711.39,1046.25,128995.7,1690.95,230.09,60.98,0,0,6195.74,388,2597.01,43.22,1141.42,54.79,41.03,11.06,35.28,18.54,242.85,30.7,6436.2,126.51,1.7,0.23,7.41,1.75,12.4,2.8,0,0,21.59,1.32,81.54,2.95,0,0,0,0,10.79,2.45,12.31,1.9,353299.63,3471.63,1127.81,50470.17,1976.84,275965,3617.51,527.21,139.72,0,0,7463.41,467.38,3633.75,60.48,1904.45,91.41,73.25,19.74,51.56,27.1,348.93,44.11,9202.11,180.87,2.17,0.29,9.28,2.19,15.43,3.48,0,0,25.54,1.56,110.14,3.98,0,0,0,0,11.62,2.64,13.97,2.15
IAEA-478,3.1,24/04/2024 11:30:06,-4.013,16.3,1073503,375459,823885.41,2124.23,678.65,27172.52,1063.56,129756.95,1700.74,217.58,62.6,0,0,6174.19,386.68,2618.62,43.53,1116.19,53.81,32.48,11.1,48.43,19.29,283.7,36.4,6422.75,126.32,1.73,0.24,5.11,1.64,11.91,2.8,0.26,0.32,22.39,1.33,81.66,2.96,0,0,0,0,9.48,2.41,14.4,1.95,355826.35,3522.56,1125.38,51341.46,2009.56,277593.57,3638.44,498.55,143.44,0,0,7437.46,465.79,3663.99,60.91,1862.36,89.77,57.98,19.81,70.79,28.19,407.63,52.3,9182.89,180.6,2.2,0.3,6.4,2.05,14.82,3.48,0.34,0.42,26.48,1.57,110.3,4,0,0,0,0,10.21,2.6,16.34,2.21
IAEA-478,3.2,24/04/2024 11:30:06,-4.208,16.4,1070711,373407,825005.87,1911.13,713.31,27053.97,1059.08,129221.13,1693.77,187.05,64.37,0,0,6109.06,382.61,2565.73,43.08,1097.87,52.92,42.76,10.95,50.55,19.17,260.11,33.03,6348.38,124.84,1.54,0.23,4.33,1.58,11.2,2.73,0,0,19.29,1.23,85.61,2.99,0,0,0,0,10.75,2.55,13.67,1.97,353730.67,3169.18,1182.86,51117.47,2001.09,276447.28,3623.53,428.6,147.5,0,0,7359,460.9,3589.99,60.28,1831.78,88.29,76.33,19.54,73.88,28.01,373.74,47.46,9076.55,178.5,1.96,0.29,5.42,1.98,13.94,3.4,0,0,22.82,1.45,115.64,4.03,0,0,0,0,11.58,2.75,15.51,2.24
IAEA-478,3.3,24/04/2024 11:30:06,-3.868,16.4,1065804,369390,826352.87,2030.82,697.62,26911.33,1053.61,128098.08,1679.61,202.28,62.86,0,0,6011.04,376.44,2561.99,42.72,1077.56,51.97,42.35,10.9,51.29,19.27,268.4,34.2,6248.85,122.94,1.59,0.23,5.45,1.59,11.3,2.66,0,0,21.06,1.28,81.81,2.93,0,0,0,0,10.09,2.4,11.86,1.88,351000.47,3367.65,1156.84,50847.96,1990.75,274044.69,3593.26,463.49,144.02,0,0,7240.92,453.46,3584.75,59.77,1797.91,86.71,75.6,19.46,74.96,28.16,385.65,49.14,8934.25,175.78,2.02,0.29,6.82,1.99,14.06,3.31,0,0,24.91,1.52,110.5,3.96,0,0,0,0,10.87,2.59,13.46,2.13
IAEA-478,3.4,24/04/2024 11:30:06,-3.614,16.4,1071988,370829,825351.99,1889.98,713.42,26971.52,1055.97,129036.71,1691.41,179.83,64.94,0,0,6128.95,383.81,2570.8,42.95,1074.49,51.93,50.99,10.98,52.23,19.33,253.12,32.07,6288.22,123.73,1.61,0.23,4.57,1.57,11.46,2.71,0,0,23.08,1.36,84.84,2.96,0,0,0,0,10.66,2.43,14.95,1.99,353047.38,3134.1,1183.05,50961.69,1995.22,276052.74,3618.5,412.07,148.8,0,0,7382.95,462.34,3597.08,60.1,1792.77,86.65,91.03,19.61,76.34,28.25,363.69,46.08,8990.55,176.9,2.05,0.29,5.72,1.97,14.26,3.38,0,0,27.29,1.61,114.6,4,0,0,0,0,11.48,2.62,16.96,2.25
