Exported at 10/05/2024 14:17:20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Core ID:,Stare standardy suche 1x15 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Comments:,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
XRF Measurement Mode:,He - 15x1mm, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Depth,Depth In Core,Time Stamp,Laser Profiler,XRF Total Live Time,XRF Total Counts,,XRF Elements(ppm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,XRF Oxides(ppm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cm,cm,,mm,Seconds,Beam 1,Beam 2,LE (Value),Mg (Value),Mg (Error),Al (Value),Al (Error),Si (Value),Si (Error),P (Value),P (Error),S (Value),S (Error),K (Value),K (Error),Ca (Value),Ca (Error),Ti (Value),Ti (Error),V (Value),V (Error),Cr (Value),Cr (Error),Mn (Value),Mn (Error),Fe (Value),Fe (Error),Ni (Value),Ni (Error),Cu (Value),Cu (Error),Zn (Value),Zn (Error),As (Value),As (Error),Sr (Value),Sr (Error),Zr (Value),Zr (Error),Mo (Value),Mo (Error),Ba (Value),Ba (Error),Pb (Value),Pb (Error),U (Value),U (Error),LE (Value),MgO (Value),MgO (Error),Al2O3 (Value),Al2O3 (Error),SiO2 (Value),SiO2 (Error),P2O5 (Value),P2O5 (Error),SO3 (Value),SO3 (Error),K2O (Value),K2O (Error),CaO (Value),CaO (Error),TiO2 (Value),TiO2 (Error),V2O5 (Value),V2O5 (Error),Cr2O3 (Value),Cr2O3 (Error),Mn2O3 (Value),Mn2O3 (Error),Fe2O3 (Value),Fe2O3 (Error),NiO (Value),NiO (Error),CuO (Value),CuO (Error),ZnO (Value),ZnO (Error),As2O3 (Value),As2O3 (Error),SrO (Value),SrO (Error),ZrO2 (Value),ZrO2 (Error),MoO2 (Value),MoO2 (Error),BaO (Value),BaO (Error),PbO (Value),PbO (Error),UO2 (Value),UO2 (Error)
2.61,2.6,10/05/2024 12:35:20*,-2.964, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2.71,2.7,10/05/2024 12:35:20*,-3.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2.81,2.8,10/05/2024 12:35:20*,-3.332, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2.91,2.9,10/05/2024 12:35:20*,-3.433, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
NCS DC60113 Gypsum,3,10/05/2024 12:35:20,-3.458,14.7,1326985,570186,803623.13,10052.62,2837.41,6743.31,1227.9,18557.1,733.66,0,0,66361.46,1806.51,1351.46,273.18,90340.19,779.62,88.49,47.58,402.96,149.46,200.48,90.55,142.88,66.81,1622.58,158.88,10.67,1.31,100.81,7.04,25.28,6.25,0,0,275.52,17.77,0,0,3.51,12.54,40.93,62.47,45.69,19.6,10.94,12.83,367136.05,16670.02,4705.21,12741.24,2320.07,39699.84,1569.55,0,0,165698.19,4510.68,1627.98,329.08,126404.54,1090.84,147.65,79.38,719.35,266.82,293.01,132.34,205.3,95.99,2319.87,227.16,13.57,1.67,126.19,8.82,31.46,7.78,0,0,325.82,21.01,0,0,4.68,16.72,45.7,69.74,49.22,21.11,12.41,14.56
NCS DC60113 Gypsum,3.1,10/05/2024 12:35:20,-3.465,14.7,1334696,570990,791489.1,13545.61,3009.69,7401.79,1325.81,19125.4,753.85,0,0,68727.94,1869.84,1520.84,294.66,94386.7,811.95,7.26,48.98,363.42,153.14,251.12,101.48,203.85,71.36,1663.22,163.56,11.64,1.38,72.77,4.2,28.02,6.63,0,0,310.59,19.62,0,0,4.33,13.15,820.82,445.76,50.17,20.44,15.4,13.45,388069.53,22462.36,4990.89,13985.4,2505.07,40915.63,1612.73,0,0,171607.06,4668.8,1832.01,354.95,132066.45,1136.08,12.12,81.73,648.77,273.38,367.02,148.31,292.9,102.54,2377.98,233.85,14.82,1.75,91.09,5.26,34.88,8.25,0,0,367.31,23.2,0,0,5.78,17.54,916.45,497.7,54.05,22.02,17.47,15.26
NCS DC60113 Gypsum,3.2,10/05/2024 12:35:20,-3.474,14.7,1341030,570461,792089.22,11243.59,2955.88,7029.71,1275.81,19138.36,755.16,0,0,69731.14,1896.46,1510.26,293.68,96123.16,823.95,37.53,49.48,467.55,156.51,199.98,92.98,126.47,69.59,1656.6,163.75,12.29,1.41,121.23,9.25,25.68,6.43,0,0,303.89,19.26,9.46,11.16,4.53,13.18,109.63,82.67,48.6,20.59,11.11,13.55,387802.76,18644.98,4901.66,13282.37,2410.6,40943.35,1615.54,0,0,174111.96,4735.28,1819.26,353.76,134496.12,1152.87,62.63,82.56,834.66,279.39,292.28,135.89,181.72,99.99,2368.51,234.12,15.64,1.79,151.76,11.58,31.97,8,0,0,359.38,22.78,12.78,15.07,6.04,17.57,122.4,92.3,52.35,22.18,12.6,15.37
NCS DC60113 Gypsum,3.3,10/05/2024 12:35:20,-3.38,14.7,1344929,570522,788242.59,11984.15,2993.55,7038.51,1280.03,19210.51,759.45,0,0,71226.87,1936.69,1455.7,290.64,97925.42,837.84,35.48,50.16,441.97,159.17,178.01,90.89,114.97,70.76,1583.96,158.86,12.68,1.44,118.35,8.83,26.22,6.55,0.54,0.48,283.45,18.48,4.75,11.38,6.82,13.3,62.82,66.45,35.49,19.75,10.74,13.65,395094.9,19873.03,4964.13,13299.01,2418.57,41097.71,1624.72,0,0,177846.64,4835.73,1753.54,350.1,137017.84,1172.31,59.2,83.69,789,284.15,260.17,132.84,165.2,101.67,2264.66,227.13,16.13,1.83,148.15,11.05,32.63,8.16,0.72,0.63,335.21,21.86,6.41,15.38,9.1,17.74,70.14,74.19,38.23,21.28,12.19,15.49
NCS DC60113 Gypsum,3.4,10/05/2024 12:35:20,-3.286,14.6,1351435,570577,784199.56,10707.66,2928.59,6957.36,1266.91,19367.95,763.48,0,0,72777,1977.52,1615.46,307.64,100652.9,857.99,52.65,50.91,465.64,160.68,273.55,108.04,142.53,72.39,1841.25,179.76,12.62,1.45,87.16,5.39,26.78,6.85,0,0,269.89,18.07,0,0,6.31,13.7,489.3,306.05,46.18,21.43,8.26,14.23,402081.48,17756.25,4856.42,13145.68,2393.78,41434.53,1633.34,0,0,181717.17,4937.67,1945.99,370.58,140834.15,1200.5,87.85,84.95,831.25,286.85,399.81,157.91,204.79,104.01,2632.51,257.01,16.06,1.84,109.1,6.75,33.34,8.53,0,0,319.17,21.37,0,0,8.41,18.27,546.31,341.71,49.75,23.09,9.37,16.14
NCS DC60113 Gypsum,3.5,10/05/2024 12:35:20,-3.177,14.7,1345040,570377,787236.44,11204.59,2969.26,7358.19,1324.64,20075.77,786.75,0,0,71645.97,1947.91,1457.7,292.34,97881.67,838.37,78.36,50.05,449.12,158.55,212.44,96.12,191.83,72.45,1645.14,163.18,12.22,1.43,136.71,11.2,29.05,6.91,0,0,271.33,17.97,0,0,5.82,13.2,65.43,66.15,29.49,20.33,12.74,13.9,397579.28,18580.31,4923.86,13903.02,2502.86,42948.78,1683.13,0,0,178893.09,4863.74,1755.95,352.15,136956.63,1173.05,130.74,83.51,801.76,283.03,310.49,140.48,275.63,104.1,2352.13,233.31,15.55,1.82,171.12,14.03,36.16,8.6,0,0,320.88,21.25,0,0,7.76,17.61,73.06,73.86,31.76,21.9,14.46,15.77
